conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Action at Chester Station,Chester,VA,37.352861,-77.41225,1864,5,10,1864,5,10,1,4,,,,280,,,,249,,,,,,,,
Battle of Adairsville,Bartow County,GA,34.4083,-84.9389,1864,5,17,1864,5,17,1,1,,,,200,,,,,,,,,,,,
Battle of Aiken,Aiken,SC,33.549444,-81.720556,1865,2,11,1865,2,11,1,2,,,,45-495,,,,50-251,,,,,,,,
Battle of Albemarle Sound,Albemarle Sound,NC,35.978561,-76.536942,1864,5,5,1864,5,5,1,4,,,31,31,,,57,57,,,,,,,,
Battle of Aldie,Loudoun County,VA,38.9826,-77.6588,1863,6,17,1863,6,17,1,4,,,,305,,,,110-119,,,,,,,,
Battle of Allatoona,Bartow County,GA,34.116,-84.716,1864,10,5,1864,10,5,1,1,,,,706,,,,897,,,,,,,,
Battle of Amelia Springs,Amelia County,VA,37.3344,-78.079,1865,4,5,1865,4,5,1,4,,,,158,,,,~100,,,,,,,,
Battle of Anderson,Anderson,SC,34.40516,-82.45207,1865,5,1,1865,5,1,1,4,,,,2,,,,0,,,,,,,,
Battle of Anthony's Hill,Giles County,TN,35.2,-87.04,1864,12,25,1864,12,25,1,2,,,,,,,,,,,,,,,,
Battle of Antietam,Washington County,MD,39.473333,-77.744722,1862,9,17,1862,9,17,1,1,"9,549",753,"2,108",12410,"8,724",,"1,567",10000-13000,,,,,,,,
Battle of Apache Pass,Cochise County,AZ,32.157,-109.453,1862,7,15,1862,7,16,2,1,3,,2,5,,,,,,,66,66,,,,
Battle of Appomattox Court House,Appomattox County,VA,37.377778,-78.794444,1865,04,09,1865,04,09,1,1,,,,164,,,,500,,,,,,,,
Battle of Appomattox Station,Appomattox County,VA,37.353472,-78.827306,1865,4,8,1865,4,8,1,1,40-86,3,5-32,48-121,,1000,,1000+,,,,,,,,
Battle of Aquia Creek,Stafford County,VA,38.3893,-77.3157,1861,5,29,1861,6,1,1,4,9,,,9,1,,,1,,,,,,,,
Battle of Arkansas Post,Arkansas Post,AR,34.021,-91.349,1863,1,9,1863,1,11,1,1,,,134,1061,,,,709,,,,,,,,
Battle of Athens,Athens,AL,34.8033,-86.9722,1864,1,26,1864,1,26,1,1,,,,20,,,,30,,,,,,,,
Battle of Athens,Clark County,MO,40.585,-91.696,1861,8,5,1861,8,5,1,1,20,,3,23,,,31,31,,,,,,,,
Battle of Atlanta,Fulton County,GA,33.7459,-84.3488,1864,7,22,1864,7,22,1,1,,,,3641,,,,5500,,,,,,,,
Battle of Averasborough,Harnett County,NC,35.25,-78.690278,1865,3,16,1865,3,16,1,4,,,,682,,,,865,,,,,,,,
Battle of Ball's Bluff,Loudoun County,VA,39.1282,-77.5277,1861,10,21,1861,10,21,1,2,226,553,223,"1,002",117,2,36,155,,,,,,,,
Battle of Barbourville,Barbourville,KY,36.861111,-83.879444,1861,9,19,1861,9,19,1,2,1,13,1,15,,,7,7,,,,,,,,
Battle of Baton Rouge,Baton Rouge,LA,30.451,-91.1676,1862,8,5,1862,8,5,1,1,,,,371,,,,478,,,,,,,,
Battle of Baxter Springs,Cherokee County,KS,37.0308,-94.735,1863,10,6,1863,10,6,1,1,18,,,18,2,,2,4,,,,,,,,
Battle of Bayou Bourbeux,St. Landry Parish,LA,30.4125,-92.089722,1863,11,3,1863,11,3,1,1,,,26,26,,,42,42,,,,,,,,
Battle of Bayou Fourche,Pulaski County,AR,34.7154,-92.129,1863,9,10,1863,9,10,1,1,,,,72,,,,64,,,,,,,,
Battle of Bayou Meto,Pulaski County,AR,34.843581,-92.122061,1863,8,27,1863,8,27,1,2,,,,,38,,7,45,,,,,,,,
Battle of Bean's Station,Grainger County,TN,36.3248,-83.369,1863,12,14,1863,12,14,1,2,,,,700,,,,900,,,,,,,,
Battle of Beaver Dam Creek,Hanover County,VA,37.5985,-77.3599,1862,06,26,1862,06,26,1,1,207,105,49,361,,,,"1,484",,,,,,,,
Battle of Belmont,Mississippi County,MO,36.7657,-89.124,1861,11,7,1861,11,7,1,1,383,104,120,607,419,117,105,641,,,,,,,,
Battle of Bentonville,Bentonville,NC,35.2532,-78.6708,1865,3,19,1865,3,21,1,1,"1,112",221,194,"1,527","1,694",673,239,"2,606",,,,,,,,
Battle of Berryville,Clarke County,VA,39.162083,-77.997556,1864,9,3,1864,9,4,1,4,,,,314,,,,295,,,,,,,,
Battle of Big Bethel,Tabb,VA,37.0937,-76.425,1861,6,10,1861,6,10,1,2,53,,18,76,7,,1,8,,,,,,,,
Battle of Big Black River Bridge,Hinds County,MS,32.3471,-90.7043,1863,5,17,1863,5,17,1,1,,,,276,,,,1751,,,,,,,,
Battle of Big Mound,Kidder County,ND,47.024036,-99.629087,1863,7,24,1863,7,24,2,1,4,,3,7,,,,,,,9,9,,,,
Battle of Birch Coulee,Morton,MN,44.576389,-94.974722,1862,9,2,1862,9,2,2,3,47,,13,60,,,,,,,,2,,,,
Battle of Blackburn's Ford,Prince William County,VA,38.804167,-77.449167,1861,7,18,1861,7,18,1,2,,,,83,,,,68,,,,,,,,
Battle of Blair's Landing,Red River Parish,LA,31.941,-93.289,1864,4,12,1864,4,13,1,1,,,,7,,,,200,,,,,,,,
Battle of Blountville,Blountville,TN,36.533333,-82.326389,1863,9,22,1863,9,22,1,1,,,,27,,,,165,,,,,,,,
Battle of Blue Springs,Greene County,TN,36.1934,-82.9373,1863,10,10,1863,10,10,1,1,,,,100,,,,216,,,,,,,,
Battle of Boonsboro,Washington County,MD,39.5254,-77.6632,1863,7,8,1863,7,8,1,4,,,,,,,,,,,,,,,,100
Battle of Brandy Station,Culpeper County,VA,38.5018,-77.8936,1863,6,9,1863,6,9,1,4,352,486,69,907,,,,523,,,,,,,,
Battle of Brentwood,Williamson County,TN,36.0363,-86.7855,1863,3,25,1863,3,25,1,2,,,,305,,,,6,,,,,,,,
Battle of Brice's Crossroads,Near Baldwyn,MS,34.506111,-88.728889,1864,6,10,1864,6,10,1,2,"2,017",,223,2240,412,,80,492,,,,,,,,
Battle of Bristoe Station,Prince William County,VA,38.7234,-77.5418,1863,10,14,1863,10,14,1,1,,,,540,,,,1380,,,,,,,,
Battle of Brown's Mill,Coweta County,GA,33.35,-84.76,1864,7,30,1864,7,30,1,2,,,,100,,,,50,,,,,,,,
Battle of Buck Head Creek,Jenkins County,GA,32.8991,-82.0255,1864,11,28,1864,11,28,1,1,,,,46,,,,600,,,,,,,,
Battle of Buckland Mills,Fauquier County,VA,38.7747,-77.692,1863,10,19,1863,10,19,1,2,,,,,,,,,,,,,,,,230
Battle of Buffington Island,Portland,OH,38.991111,-81.771389,1863,7,19,1863,7,19,1,1,,,25,25,100,750,52,902,,,,,,,,
Battle of Bull's Gap,Hamblen County,TN,36.252,-83.081,1864,11,13,1864,11,13,1,2,,,,241,,,,,,,,,,,,
Battle of Byram's Ford,Kansas City,MO,39.0228,-94.5307,1864,10,22,1864,10,23,1,1,,,,,,,,,,,,,,,,
Battle of Camden Point,Camden Point,MO,39.453333,-94.745278,1864,7,13,1864,7,13,1,1,25,,2,27,1,,1,2,,,,,,,,
Battle of Camp Allegheny,Pocahontas County,WV,38.473889,-79.724444,1861,12,13,1861,12,13,1,4,,,,137,,,,146,,,,,,,,
Battle of Camp Wildcat,Laurel County,KY,37.11,-84.12,1861,10,21,1861,10,21,1,1,20,,5,25,,42,11,53,,,,,,,,
Battle of Campbell's Station,Knox County,TN,35.8846,-84.1539,1863,11,16,1863,11,16,1,1,,,,400,,,,570,,,,,,,,
Battle of Canada Alamosa,Canada Alamosa,NM,36.5425335,-106.160166,1861,9,24,1861,9,25,1,1,6,23,4,33,7,,2,9,,,,,,,,
Battle of Cane Hill,Washington County,AR,35.9066,-94.3998,1862,11,28,1862,11,28,1,2,,,,41,,,,45,,,,,,,,
Battle of Canyon de Chelly,Canyon de Chelly National Monument,AZ,36.155278,-109.508889,1864,1,12,1864,1,14,2,1,,,,,,,,,5,234,23,262,,,,
Battle of Cape Girardeau,Cape Girardeau County,MO,37.3132,-89.5514,1863,4,26,1863,4,26,1,1,,,,12,,,,325,,,,,,,,
Battle of Carlisle,Carlisle,PA,40.2011,-77.1845,1863,7,1,1863,7,1,1,4,12,,1,13,,,,8,,,,,,,,
Battle of Carnifex Ferry,Nicholas County,WV,38.208889,-80.938611,1861,9,10,1861,9,10,1,1,141,,17,158,30,,,30+,,,,,,,,
