name,rank,functions,structural_material,status,city,city_locode,start,completed,floors_above,height,longitude,latitude,dem
1 Bank of America Center,720,office,composite,COM,Charlotte,CLT,2007,2010,32,147.5200042725,-80.8407974243,35.2265090942,
1 Empire State Plaza,1872,government,steel,COM,Albany,ALB,,1973,23,94.4899978638,-73.7596206665,42.6517181396,
1 MiMA Tower,236,residential \/ hotel,concrete,COM,New York City,NYC,2007,2011,63,194.5500030518,-73.9946594238,40.7589187622,
1 New York Plaza,233,office,steel,COM,New York City,NYC,,1969,50,195.0700073242,-74.0120697021,40.702041626,
1 Times Square,1488,office \/ retail,steel,COM,New York City,NYC,1995,1996,25,110.6399993897,-73.9865722656,40.7562294006,
1 Wall Street Building,2287,office,steel,DEM,New York City,NYC,1906,1907,18,66.1399993896,-74.0116271973,40.7075119019,1927
1 West End Avenue,685,residential,concrete,STO,New York City,NYC,2015,2018,41,149.6600036621,-73.9908294678,40.7722396851,
1 Worldwide Plaza,91,office,steel,COM,New York City,NYC,1986,1989,47,237.1399993897,-73.9869537354,40.7622299194,
10 East Delaware,1128,residential,concrete,COM,Chicago,CHI,2007,2010,35,126.3899993897,-87.6279602051,41.8993606567,
10 Hudson Yards,50,office \/ retail,composite,COM,New York City,NYC,2013,2016,52,267.6700134277,-74.0013275146,40.7528495789,
10 Rittenhouse Square,1262,residential,concrete,COM,Philadelphia,PHL,2007,2009,33,120.6999969482,-75.1709136963,39.9508094788,
10 Rockefeller Plaza,2265,office,steel,COM,New York City,NYC,1939,1940,17,69.5,-73.979598999,40.7583312988,
10 South LaSalle,636,office,composite,COM,Chicago,CHI,,1986,37,152.7100067139,-87.6328201294,41.8816184998,
10 South Wacker,554,office,concrete,COM,Chicago,CHI,1985,1987,40,158.5,-87.6377334595,41.8815994263,
10 Sullivan Street,2311,residential,concrete,COM,New York City,NYC,2014,2015,16,62.2000007629,-74.0042037964,40.7245292664,
10 Universal City Plaza,611,office,steel,COM,Los Angeles,LAX,,1984,36,154.2299957275,-118.3618927002,34.1382408142,
10 West End,1572,residential,concrete,COM,New York City,NYC,2005,2007,31,106.6800003052,-73.9898834229,40.7718086243,
100 11th Avenue,2131,residential,concrete,COM,New York City,NYC,2007,2010,22,80.6699981689,-74.0077590942,40.7462005615,
100 5th Avenue,2230,office,steel,COM,New York City,NYC,1905,1907,16,73.7600021362,-73.9934082031,40.7370109558,
100 East 53rd Street,150,residential,concrete,UCT,New York City,NYC,2008,2017,61,216.7100067139,-73.9714584351,40.7582702637,
100 East Pratt Street,1101,office,steel,COM,Baltimore,BAL,1991,1992,28,127.5500030518,-76.6127929688,39.2870597839,
100 Front Street,2222,office,steel,COM,Worcester,ORH,,1971,20,74.3700027466,-71.7995223999,42.2625617981,
100 North Main Building,1007,office,concrete,COM,Memphis,MEM,,1965,37,131.0700073242,-90.0509567261,35.1477012634,
100 North Main Street,832,office,steel,COM,Winston-Salem,INT,1994,1995,34,140.2100067139,-80.2439575195,36.095489502,
100 Park Avenue,930,office,steel,COM,New York City,NYC,1948,1949,36,135.0299987793,-73.9787521362,40.7513618469,
100 Pier 4,2220,residential,steel,COM,Boston,BOS,,2014,21,74.4000015259,-71.0429916382,42.3513793945,
100 Pine Center,757,office,steel,COM,San Francisco,SFO,,1972,34,145.1000061035,-122.3990631104,37.792640686,
100 Summer Street,896,office,steel,COM,Boston,BOS,,1974,32,137.1600036621,-71.0573425293,42.3538818359,
100 United Nations Plaza,414,residential,concrete,COM,New York City,NYC,,1986,52,169.7799987793,-73.9677810669,40.7531814575,
100 Van Ness,1219,residential,steel,COM,San Francisco,SFO,1973,1974,30,122,-122.4192810059,37.7767791748,
100 Washington Square,1649,office,concrete,COM,Minneapolis,MES,1979,1981,22,103.8399963379,-93.2657699585,44.9812202454,
1000 Lake Shore Plaza,329,residential,concrete,COM,Chicago,CHI,,1964,55,179.8300018311,-87.6245117188,41.9010391235,
1000 Second Avenue,675,office,steel,COM,Seattle,SEA,,1986,40,150.2700042725,-122.3351974487,47.6058387756,
1000 South Clark,1845,residential,concrete,UCT,Chicago,CHI,2014,2016,29,95.8600006104,-87.6309890747,41.8693199158,
1001 McKinney Building,2028,office,steel,COM,Houston,HOU,1947,1949,22,86.8700027466,-95.3641891479,29.7568302155,
1001 South State Street,944,residential,concrete,UCT,Chicago,CHI,2014,2016,40,134.1100006104,-87.6270523071,41.869808197,
1001 Woodward,1673,office,steel,COM,Detroit,DTT,1963,1965,23,103,-83.0477294922,42.3320083618,
101 California Street,311,office,steel,COM,San Francisco,SFO,1979,1982,48,183,-122.3978729248,37.7928695679,
101 Federal Street,1349,office,steel,COM,Boston,BOS,,1988,31,116.3000030518,-71.056678772,42.3549804688,
101 Park Avenue,256,office,concrete,COM,New York City,NYC,1979,1982,49,191.7200012207,-73.9778518677,40.750869751,
101 Seaport,2417,office,steel,COM,Boston,BOS,,2015,17,,-71.0453186035,42.3511886597,
101 Second Street,1541,office,steel,COM,San Francisco,SFO,,1999,26,108,-122.3990936279,37.7882003784,
101 Warren Street,1025,residential,concrete,COM,New York City,NYC,2006,2008,32,130.4600067139,-74.0126113892,40.7159996033,
101 West 28th Street,1970,residential \/ hotel,concrete,COM,New York City,NYC,2014,2016,28,90.1999969482,-73.9906997681,40.7462806702,
101 West Ohio,1505,office,concrete,COM,Indianapolis,IND,,1987,22,109.7699966431,-86.1601715088,39.7697296143,
1010 Brickell,455,residential \/ retail,concrete,UC,Miami,MIA,2014,2017,50,167.0299987793,-80.192199707,25.76404953,
1010 Common,968,office,concrete,COM,New Orleans,MSY,,1970,31,133.5,-90.0737304688,29.953710556,
1010 Peachtree,1176,retail \/ residential,concrete,COM,Atlanta,ATL,,2009,36,124,-84.3839263916,33.7839889526,
102 5th Avenue,2089,office,steel,COM,New York City,NYC,1910,1912,19,82.9100036621,-73.9931488037,40.7370986938,
"1047 Amsterdam Avenue, East Tower",2426,residential,concrete,UC,New York City,NYC,2014,,-,,-73.9609298706,40.8039398193,
"1047 Amsterdam Avenue, West Tower",2426,residential,concrete,UC,New York City,NYC,2014,,-,,-73.9620666504,40.8044891357,
1065 Avenue of the Americas,882,office,steel,COM,New York City,NYC,1955,1957,38,137.4700012207,-73.9854278564,40.7539596558,
1075 Peachtree Office Tower,698,office,concrete,COM,Atlanta,ATL,2007,2010,38,148.7400054932,-84.382598877,33.783821106,
1095 Avenue of the Americas,226,office,steel,COM,New York City,NYC,2006,2007,43,196.4400024414,-73.9847793579,40.7546081543,
11 East 31st Street,1699,hotel,concrete,COM,New York City,NYC,,2016,31,101.9300003052,-73.9849472046,40.7463607788,
11 Penn Plaza,1293,office,steel,COM,New York City,NYC,,1924,26,119.1800003052,-73.9913787842,40.7492485046,
11 West 42nd Street,1439,office,steel,COM,New York City,NYC,,1927,32,112.7799987793,-73.9818191528,40.7542114258,
1100 Alakea Plaza,1344,office,concrete,COM,Honolulu,HNL,,1993,32,116.5,-157.8596343994,21.3092899323,
1100 Millicento Residences,789,residential,concrete,COM,Miami,MIA,2012,2015,42,143.3000030518,-80.1934585571,25.7632293701,
1100 North Lake Shore Drive,1153,residential,concrete,COM,Chicago,CHI,1977,1979,40,124.9700012207,-87.6249694824,41.9025802612,
111 Eighth Avenue,2137,office,steel,COM,New York City,NYC,,1932,17,80.5,-74.0031967163,40.7413482666,
111 Huntington Avenue,398,office,steel,COM,Boston,BOS,1999,2002,36,172,-71.0816268921,42.3464813232,
111 Main,1317,office,composite,UC,Salt Lake City,SLC,2014,2016,24,118,-111.8905410767,40.7668609619,
111 South Wacker,181,office,composite,COM,Chicago,CHI,2003,2005,51,207.6399993897,-87.6364974976,41.880241394,
111 West 57th Street,5,residential,concrete,UC,New York City,NYC,2015,2018,80,438.299987793,-73.9775466919,40.7648010254,
1110 North Lake Shore Drive,1277,residential,concrete,COM,Chicago,CHI,1968,1970,40,120,-87.6249313354,41.9027481079,
1111 North Dearborn,1932,residential,concrete,COM,Chicago,CHI,,1981,32,91.75,-87.6295928955,41.9020500183,
1111 South Wabash,1469,residential,concrete,COM,Chicago,CHI,2001,2004,34,111.8600006104,-87.6254425049,41.8687896729,
1130 South Michigan,1004,residential,concrete,COM,Chicago,CHI,1966,1967,43,131.3699951172,-87.6246185303,41.8684997559,
1132 Bishop Street,1314,office,steel,COM,Honolulu,HNL,,1991,31,118,-157.8603820801,21.310049057,
1133 Avenue of the Americas,437,office,steel,COM,New York City,NYC,,1970,45,168.25,-73.9838104248,40.7560005188,
1133 North Dearborn,1812,residential,concrete,COM,Chicago,CHI,1987,1988,33,97.8899993896,-87.6296234131,41.9027709961,
1144 Fifteenth,274,office \/ retail,steel\/concrete,UC,Denver,DEN,2015,2018,40,188,-104.9975814819,39.7471084595,
1155 Avenue of the Americas,594,office,steel,COM,New York City,NYC,,1984,40,155.7599945068,-73.9833526611,40.7566184998,
1166 Avenue of the Americas,313,office,steel,COM,New York City,NYC,,1974,44,182.9100036621,-73.9821166992,40.7568397522,
1180 Peachtree,206,office,concrete,COM,Atlanta,ATL,2003,2006,41,200.1600036621,-84.3837203979,33.7868690491,
12 Metrotech Center,779,office \/ government,steel,COM,New York City,NYC,2001,2005,32,144.169998169,-73.987663269,40.6946296692,
120 North LaSalle,634,office,concrete,COM,Chicago,CHI,1989,1992,39,152.7100067139,-87.6329803467,41.8837509155,
120 Riverside Boulevard at Trump Place,2258,residential,concrete,COM,New York City,NYC,,2004,18,70.0999984741,-73.9891281128,40.7763404846,
120 Wall Street,923,office,steel,COM,New York City,NYC,,1930,33,135.6000061035,-74.0059890747,40.704750061,
1201 North Market Street,1743,office,steel,COM,Wilmington,ILG,,1988,23,100.5899963379,-75.54662323,39.7478103638,
1201 Third Avenue Tower,96,office,steel,COM,Seattle,SEA,1986,1988,55,235.3099975586,-122.3360824585,47.6072692871,
1212 North Lake Shore Drive,1705,residential,concrete,COM,Chicago,CHI,,1969,36,101.5,-87.6253890991,41.9045410156,
1212 South Michigan,1808,residential,concrete,COM,Chicago,CHI,,1982,30,98,-87.6243972778,41.8669815063,
1214 Fifth Avenue,578,residential \/ office,concrete,COM,New York City,NYC,2010,2012,43,156.4100036621,-73.9523391724,40.7912406921,
1240 North Lake Shore Drive,1769,residential,concrete,COM,Chicago,CHI,,1971,32,99.9800033569,-87.6254196167,41.9050788879,
125 Greenwich Street,29,residential,concrete,UC,New York City,NYC,2015,2018,71,310,-74.0127182007,40.7094688416,
1250 Broadway,912,office,steel,COM,New York City,NYC,1969,1970,30,136.3000030518,-73.9879379272,40.7477111816,
1251 Avenue of the Americas,109,office,steel,COM,New York City,NYC,1967,1972,54,228.6000061035,-73.9815673828,40.759979248,
1270 Avenue of the Americas,1161,office,steel,COM,New York City,NYC,,1932,31,124.6600036621,-73.979888916,40.7600784302,
1285 Avenue of the Americas,482,office,steel,COM,New York City,NYC,1959,1960,42,164.6000061035,-73.980140686,40.7610206604,
1290 Avenue of the Americas,380,office,steel,COM,New York City,NYC,1961,1963,43,174.0399932861,-73.9791793823,40.7606086731,
1300 North Lake Shore Drive,1189,residential,concrete,COM,Chicago,CHI,,1965,40,123.1399993897,-87.6257019043,41.9061203003,
1312-1314 Chestnut Street,2254,office,steel,COM,Philadelphia,PHL,1923,1924,15,70.7099990845,-75.1622924805,39.9504585266,
1325 J Street,2128,office,concrete,COM,Sacramento,SAC,,1999,19,80.7699966431,-121.4882507324,38.5792388916,
1345 Avenue of the Americas,259,office,steel,COM,New York City,NYC,,1969,50,190.5,-73.9789886475,40.7630310059,
135W52,764,residential,concrete,COM,New York City,NYC,2013,2015,46,144.7799987793,-73.9809112549,40.76197052,
136 E South Temple,2078,office,concrete,COM,Salt Lake City,SLC,1965,1966,25,83.5199966431,-111.8870010376,40.7689704895,
14 Wall,484,office,steel,COM,New York City,NYC,1910,1912,29,164.5899963379,-74.0107574463,40.7076187134,
140 New Montgomery Street,979,residential \/ hotel,steel,COM,San Francisco,SFO,1924,1925,26,132.6999969482,-122.3999328613,37.7866897583,
1400 Broadway,922,office,steel,COM,New York City,NYC,1930,1931,35,135.6399993897,-73.9867477417,40.752948761,
1400 Museum Park,1403,residential,concrete,COM,Chicago,CHI,2006,2008,34,114.3000030518,-87.6236877441,41.8643798828,
1400 Smith Street,168,office,steel,COM,Houston,HOU,,1983,50,210.5200042725,-95.3720092773,29.755449295,
1407 Broadway,586,office,steel,COM,New York City,NYC,,1950,41,156.0599975586,-73.9876403809,40.7534217834,
