title,type,year,director,based_on,rt_link,imdb_link,imdb_rating,imdb_rating_count,rt_critic_rating,rt_critic_count,rt_audience_rating,rt_audience_count
1408,m,2007,Mikael Håfström,1408,http://www.rottentomatoes.com/m/1408/,http://www.imdb.com/title/tt0450385/,6.8,208992,6.7,170,3.4,744544
A Good Marriage,m,2014,Peter Askin,A Good Marriage,https://www.rottentomatoes.com/m/stephen_kings_a_good_marriage/,http://www.imdb.com/title/tt2180994/,5.1,5961,4.8,20,2.5,1248
A Return to Salem's Lot,m,1987,Larry Cohen,Salem's Lot,https://www.rottentomatoes.com/m/return_to_salems_lot,http://www.imdb.com/title/tt0093855/,4.3,2400,,,2.7,7839
Apt Pupil,m,1998,Bryan Singer,Apt Pupil: Summer of Corruption,https://www.rottentomatoes.com/m/apt_pupil,http://www.imdb.com/title/tt0118636/,6.7,28998,6,55,3.1,38405
Carrie,m,1976,Brian De Palma,Carrie,http://www.rottentomatoes.com/m/1003625-carrie/,http://www.imdb.com/title/tt0074285/,7.4,125486,8.3,54,3.4,351846
Carrie,m,2013,Kimberly Peirce,Carrie,http://www.rottentomatoes.com/m/carrie/,http://www.imdb.com/title/tt1939659/,5.9,107934,5.4,163,3.2,81640
Cat's Eye,m,1985,Lewis Teague,"[Quitters, Inc., The Ledge]",http://www.rottentomatoes.com/m/cats_eye/,http://www.imdb.com/title/tt0088889/,6.2,16655,5.5,24,3.1,31012
Cell,m,2016,Tod Williams,Cell,http://www.rottentomatoes.com/m/cell_2016/,http://www.imdb.com/title/tt0775440/,4.4,7242,3.4,28,2,2452
Children of the Corn,m,1984,Fritz Kiersch,Children of the Corn,https://www.rottentomatoes.com/m/1004047-children_of_the_corn/,http://www.imdb.com/title/tt0087050,5.6,34619,4.1,24,3,84538
Children of the Corn 666: Isaac's Return,m,1999,Kari Skogland,Children of the Corn,https://www.rottentomatoes.com/m/children_of_the_corn_666_isaacs_return,http://www.imdb.com/title/tt0177625,3.7,3157,1.7,5,2.9,11604
Children of the Corn II: The Final Sacrifice,m,1992,David Price,Children of the Corn,http://www.rottentomatoes.com/m/children_of_the_corn_ii_the_final_sacrifice/,http://www.imdb.com/title/tt0106557,4.2,5826,2,9,2.8,10680
Children of the Corn III: Urban Harvest,m,1995,James D.R. Hickox,Children of the Corn,http://www.rottentomatoes.com/m/children_of_the_corn_iii_urban_harvest/,http://www.imdb.com/title/tt0109415,4,5287,,,2.8,11798
Children of the Corn IV: The Gathering,m,1996,Greg Spence,Children of the Corn,https://www.rottentomatoes.com/m/children_of_the_corn_iv_the_gathering,http://www.imdb.com/title/tt0115885,4.2,3275,,,2.9,10998
Children of the Corn IX: Runaway,m,2017,John Gulager,Children of the Corn,,http://www.imdb.com/title/tt5565634,,,,,,
Children of the Corn V: Fields of Terror,m,1998,Ethan Wiley,Children of the Corn,https://www.rottentomatoes.com/m/children_of_the_corn_v_fields_of_terror,http://www.imdb.com/title/tt0150111,4.1,3378,2.5,6,2.9,11221
Children of the Corn VII: Revelation,m,2001,Guy Magar,Children of the Corn,https://www.rottentomatoes.com/m/children_of_the_corn_revelation,http://www.imdb.com/title/tt0279730,3.4,1884,,,2.9,11667
Children of the Corn VIII: Genesis,m,2011,Joel Soisson,Children of the Corn,https://www.rottentomatoes.com/m/children_of_the_corn_genesis,http://www.imdb.com/title/tt1745672,3.9,2330,,,2,358
Christine,m,1983,John Carpenter,Christine,http://www.rottentomatoes.com/m/christine/,http://www.imdb.com/title/tt0085333/,6.6,50082,5.9,25,3.2,64013
Creepshow,m,1982,George A. Romero,"[Weeds, The Crate]",http://www.rottentomatoes.com/m/creepshow/,http://www.imdb.com/title/tt0083767/,6.9,29813,6.2,29,3.3,39305
Creepshow 2,m,1987,Michael Gornick,The Raft,http://www.rottentomatoes.com/m/Creepshow_2/,http://www.imdb.com/title/tt0092796/,6,15880,4,21,3,19223
Creepshow 3,m,2007,"[Ana Clavell, James Dudelson]",,http://www.rottentomatoes.com/m/creepshow_3/,http://www.imdb.com/title/tt0478125/,3,3498,2.7,6,2.1,2790
Cujo,m,1983,Lewis Teague,Cujo,http://www.rottentomatoes.com/m/cujo/,http://www.imdb.com/title/tt0085382/,6,26809,5.5,29,3,53181
Dolan's Cadillac,m,2009,Jeff Beesley,Dolan's Cadillac,http://www.rottentomatoes.com/m/dolans_cadillac/,http://www.imdb.com/title/tt0963965/,5.7,5689,,,2.8,1149
Dolores Claiborne,m,1995,Taylor Hackford,Dolores Claiborne,http://www.rottentomatoes.com/m/dolores_claiborne/,http://www.imdb.com/title/tt0109642/,7.4,28252,6.6,33,3.4,29990
Dreamcatcher,m,2003,Lawrence Kasdan,Dreamcatcher,http://www.rottentomatoes.com/m/dreamcatcher/,http://www.imdb.com/title/tt0285531/,5.5,75404,4.7,168,2.8,132072
Firestarter,m,1984,Mark L. Lester,Firestarter,http://www.rottentomatoes.com/m/firestarter/,http://www.imdb.com/title/tt0087262/,6,22727,4.9,23,3.2,54896
Firestarter: Rekindled,m,2002,Robert Iscove,Firestarter,https://www.rottentomatoes.com/m/firestarter_2_rekindled,http://www.imdb.com/title/tt0297120/,5,2312,,,2.9,2836
Graveyard Shift,m,1990,Ralph S. Singleton,Graveyard Shift,https://www.rottentomatoes.com/m/stephen_kings_graveyard_shift/,http://www.imdb.com/title/tt0099697/,4.7,6846,3.8,8,2.7,9836
Hearts in Atlantis,m,2001,Scott Hicks,"[Low Men in Yellow Coats, Heavenly Shades of Night are Falling]",https://www.rottentomatoes.com/m/hearts_in_atlantis,http://www.imdb.com/title/tt0252501/,6.9,30291,5.7,135,3.3,23393
It,m,2017,Andrés Muschietti,It,http://www.rottentomatoes.com/m/it_2017/,http://www.imdb.com/title/tt1396484/,,,,,,
Lawnmower Man 2: Beyond Cyberspace,m,1996,Farhad Mann,The Lawnmower Man,http://www.rottentomatoes.com/m/lawnmower_man_2_jobes_war/,http://www.imdb.com/title/tt0116839,2.4,7930,2.8,9,2.1,7194
Maximum Overdrive,m,1986,Stephen King,Trucks,http://www.rottentomatoes.com/m/maximum_overdrive/,http://www.imdb.com/title/tt0091499/,5.4,23186,3,12,2.9,44577
Mercy,m,2014,Peter Cornwell,Gramma,http://www.rottentomatoes.com/m/mercy_2014/,http://www.imdb.com/title/tt2481496/,5,3218,,,2.7,289
Misery,m,1990,Rob Reiner,Misery,http://www.rottentomatoes.com/m/misery/,http://www.imdb.com/title/tt0100157/,7.8,133019,7.5,61,3.7,176562
Needful Things,m,1993,Fraser C. Heston,Needful Things,http://www.rottentomatoes.com/m/needful_things/,http://www.imdb.com/title/tt0107665/,6.2,16509,4,23,3,16969
No Smoking,m,2007,Anurag Kashyap,"Quitters, Inc.",http://www.rottentomatoes.com/m/1192358-1192358-no_smoking/,http://www.imdb.com/title/tt0995740/,7.1,4172,4.8,10,3.4,1678
Pet Sematary,m,1989,Mary Lambert,Pet Sematary,http://www.rottentomatoes.com/m/pet_sematary/,http://www.imdb.com/title/tt0098084/,6.6,63629,5.2,24,3.2,97153
Pet Sematary Two,m,1992,Mary Lambert,Pet Sematary,http://www.rottentomatoes.com/m/pet_sematary_ii/,http://www.imdb.com/title/tt0105128/,4.7,13437,3.8,19,2.6,38477
Riding the Bullet,m,2004,Mick Garris,Riding the Bullet,http://www.rottentomatoes.com/m/riding-the-bullet/,http://www.imdb.com/title/tt0355954/,5.2,7485,4.2,22,2.8,7803
Secret Window,m,2004,David Koepp,"Secret Window, Secret Garden",http://www.rottentomatoes.com/m/secret_window/,http://www.imdb.com/title/tt0363988/,6.6,147152,5.5,160,3.3,428659
Silver Bullet,m,1985,Dan Attias,Cycle of the Werewolf,https://www.rottentomatoes.com/m/stephen_kings_silver_bullet/,http://www.imdb.com/title/tt0090021/,6.3,16453,5.2,14,3.2,18369
Sleepwalkers,m,1992,Mick Garris,,http://www.rottentomatoes.com/m/sleepwalkers/,http://www.imdb.com/title/tt0105428/,5.1,14834,4.2,13,2.7,26503
Sometimes They Come Back... Again,m,1996,Adam Grossman,Sometimes They Come Back,https://www.rottentomatoes.com/m/sometimes_they_come_backagain/,http://www.imdb.com/title/tt0117692/,3.7,2552,,,2.8,1120
Sometimes They Come Back... for More,m,1998,Daniel Zelik Berk,Sometimes They Come Back,https://www.rottentomatoes.com/m/sometimes_they_come_backfor_more_1999/,http://www.imdb.com/title/tt0171768/,3.1,1607,3,5,2.5,3943
Stand By Me,m,1986,Rob Reiner,The Body: Fall from Innocence,https://www.rottentomatoes.com/m/stand_by_me_1986,http://www.imdb.com/title/tt0092005/,8.1,270671,8,53,4,268786
Tales from the Darkside: The Movie,m,1990,John Harrison,The Cat from Hell,http://www.rottentomatoes.com/m/tales_from_the_darkside_the_movie/,http://www.imdb.com/title/tt0100740/,6.2,10796,4.5,17,3.1,9188
The Dark Half,m,1993,George A. Romero,The Dark Half,http://www.rottentomatoes.com/m/dark_half/,http://www.imdb.com/title/tt0106664/,5.9,11810,5.8,21,3,8856
The Dark Tower,m,2017,Nikolaj Arcel,The Dark Tower,https://www.rottentomatoes.com/m/the_dark_tower_2017,http://www.imdb.com/title/tt1648190/,,,,,,
The Dead Zone,m,1983,David Cronenberg,The Dead Zone,http://www.rottentomatoes.com/m/dead_zone/,http://www.imdb.com/title/tt0085407/,7.2,44624,7.6,41,3.5,35707
The Green Mile,m,1999,Frank Darabont,The Green Mile,http://www.rottentomatoes.com/m/green_mile/,http://www.imdb.com/title/tt0120689/,8.5,779428,6.8,132,4.1,811523
The Lawnmower Man,m,1992,Brett Leonard,The Lawnmower Man,http://www.rottentomatoes.com/m/lawnmower_man/,http://www.imdb.com/title/tt0104692/,5.4,27745,4.6,34,2.6,46968
The Mangler,m,1995,Tobe Hooper,The Mangler,http://www.rottentomatoes.com/m/mangler/,http://www.imdb.com/title/tt0113762/,3.9,6495,2.3,10,2.4,6541
The Mangler 2,m,2002,Michael Hamilton-Wright,The Mangler,https://www.rottentomatoes.com/m/mangler_2,http://www.imdb.com/title/tt0260162/,2.2,1588,,,2,1066
The Mangler Reborn,m,2005,"[Erik Gardner, Matt Cunningham]",The Mangler,https://www.rottentomatoes.com/m/the-mangler-reborn,http://www.imdb.com/title/tt0449066/,3.1,855,,,2.2,609
The Mist,m,2007,Frank Darabont,The Mist,http://www.rottentomatoes.com/m/mist/,http://www.imdb.com/title/tt0884328/,7.2,219818,6.6,141,3.3,197302
The Night Flier,m,1997,Mark Pavia,The Night Flier,http://www.rottentomatoes.com/m/stephen_kings_the_night_flier/,http://www.imdb.com/title/tt0119784/,5.9,7047,,,2.8,6986
The Rage: Carrie 2,m,1999,Katt Shea,Carrie,http://www.rottentomatoes.com/m/rage_carrie_2/,http://www.imdb.com/title/tt0144814/,4.6,13055,3.9,33,2.6,49904
The Running Man,m,1987,Paul Michael Glaser,The Running Man,http://www.rottentomatoes.com/m/running_man/,http://www.imdb.com/title/tt0093894/,6.6,112297,5.5,33,3.2,80327
The Shawshank Redemption,m,1994,Frank Darabont,Rita Hayworth and Shawshank Redemption: Hope Springs Eternal,https://www.rottentomatoes.com/m/shawshank_redemption,http://www.imdb.com/title/tt0111161,9.3,1684106,8.2,66,4.4,881281
The Shining,m,1980,Stanley Kubrick,The Shining,http://www.rottentomatoes.com/m/shining/,http://www.imdb.com/title/tt0081505/,8.4,607963,8.5,66,4,477249
Thinner,m,1996,Tom Holland,Thinner,https://www.rottentomatoes.com/m/thinner/,http://www.imdb.com/title/tt0117894/,5.7,19750,3.7,19,2.7,20262
Trucks,m,1997,Chris Thomson,Trucks,https://www.rottentomatoes.com/m/trucks,http://www.imdb.com/title/tt0120380/,3.8,2241,,,2.7,2768
Bag of Bones,ms,2011,Mick Garris,Bag of Bones,https://www.rottentomatoes.com/m/bag_of_bones_2011/,http://www.imdb.com/title/tt1212452/,5.8,6922,,,3.1,37
Golden Years,ms,1991,"[Kenneth Fink, Allen Coulter, Michael Gornick, Stephen Tolkin]",,,http://www.imdb.com/title/tt0101206/,5.2,2193,,,,
It,ms,1990,Tommy Lee Wallace,It,http://www.rottentomatoes.com/m/stephen-kings-it1990/,http://www.imdb.com/title/tt0099864/,6.9,66262,5.5,12,3.2,197033
Nightmares & Dreamscapes: From the Stories of Stephen King,ms,2006,,"[Umney's Last Case, You Know They Got a Hell of a Band, The End of the Whole Mess, The Fifth Quarter, Crouch End, The Road Virus Heads North, Autopsy Room Four, Battleground]",,http://www.imdb.com/title/tt0481452/,7,3751,,,,
Rose Red,ms,2002,Craig R. Baxley,,,http://www.imdb.com/title/tt0259153/,6.7,17596,,,,
Salem's Lot,ms,1979,Tobe Hooper,Salem's Lot,,http://www.imdb.com/title/tt0079844/,6.8,14428,,,,
Salem's Lot,ms,2004,Mikael Salomon,Salem's Lot,http://www.rottentomatoes.com/m/1135630-salems_lot/,http://www.imdb.com/title/tt0355987/,6.2,7894,,,3.2,8074
Storm of the Century,ms,1999,Craig R. Baxley,,http://www.rottentomatoes.com/m/stephen_kings_storm_of_the_century/,http://www.imdb.com/title/tt0135659/,7.4,15583,6.4,8,3.5,21172
The Diary of Ellen Rimbauer,ms,2003,Craig R. Baxley,,,http://www.imdb.com/title/tt0350811/,5.5,2843,,,,
The Langoliers,ms,1995,Tom Holland,The Langoliers,https://www.rottentomatoes.com/m/stephen_kings_the_langoliers,http://www.imdb.com/title/tt0112040/,6.1,21077,5,10,2.9,22388
The Shining,ms,1997,Mick Garris,The Shining,,http://www.imdb.com/title/tt0118460/,6.1,11906,,,,
The Stand,ms,1994,Mick Garris,The Stand,,http://www.imdb.com/title/tt0108941/,7.3,24615,,,,
The Tommyknockers,ms,1993,John Power,The Tommyknockers,https://www.rottentomatoes.com/m/tommyknockers/,http://www.imdb.com/title/tt0106156/,5.4,8146,3.9,12,2.8,26390
11.22.63,s,2016,,11/22/63,http://www.rottentomatoes.com/tv/11-22-63/,http://www.imdb.com/title/tt2879552/,8.4,31917,,,,
Kingdom Hospital,s,2004,Craig R. Baxley,,,http://www.imdb.com/title/tt0324864/,6.8,6082,,,,
The Dead Zone,s,2002-2007,,The Dead Zone,,http://www.imdb.com/title/tt0281432/,7.5,7103,,,,
The Mist,s,2017,,The Mist,,http://www.imdb.com/title/tt5639976/,,,,,,
Under the Dome,s,2013-2015,,Under the Dome,,http://www.imdb.com/title/tt1553656/,6.8,84397,,,,
Big Driver,tvm,2014,Richard Christian Matheson,Big Driver,https://www.rottentomatoes.com/m/big_driver,http://www.imdb.com/title/tt3831810/,5.7,3239,6,10,2.8,250
Carrie,tvm,2002,David Carson,Carrie,,http://www.imdb.com/title/tt0319970/,5.5,7750,,,,
Children of the Corn,tvm,2009,Donald P. Borchers,Children of the Corn,https://www.rottentomatoes.com/m/1220545-children_of_the_corn,http://www.imdb.com/title/tt1290135,3.9,4345,,,2.1,883
Desperation,tvm,2006,Mick Garris,Desperation,https://www.rottentomatoes.com/m/stephen_kings_desperation/,http://www.imdb.com/title/tt0129871/,5.3,9192,,,3,11033
Quicksilver Highway,tvm,1997,Mick Garris,Chattery Teeth,https://www.rottentomatoes.com/m/quicksilver_highway,http://www.imdb.com/title/tt0119975/,4.9,1781,,,2.7,1776
Sometimes They Come Back,tvm,1991,Tom McLoughlin,Sometimes They Come Back,http://www.rottentomatoes.com/m/sometimes_they_come_back/,http://www.imdb.com/title/tt0102960/,5.7,6497,,,3,10849
