name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Nat Hickey,,,US,,,,1902,1,30,1979,9,16
Ife Holmes,Warren,Indiana,US,,,,1905,8,15,1985,1,27
Cookie Cunningham,Mount Vernon,Ohio,US,Leesburg,Florida,US,1905,3,4,1995,11,3
Rusty Saunders,Trenton,New Jersey,US,Trenton,New Jersey,US,1906,3,12,1967,11,24
Byron Evard,Fort Wayne,Indiana,US,Collier County,Florida,US,1908,3,27,1983,12,22
Al Benson,Jackson,Mississippi,US,Three Oaks,Michigan,US,1908,6,30,1978,9,6
Pres Slack,,Wisconsin,US,Orange,California,US,1908,12,28,1993,1,25
Augie Vander Meulen,Chicago,Illinois,US,,,,1909,11,6,1993,12,2
Paul Tobin,Paterson,New Jersey,US,Akron,Ohio,US,1909,11,23,2003,9,6
Carl Roth,Sheboygan,Wisconsin,US,Peoria,Illinois,US,1909,9,15,1966,5,28
John Wooden,Hall,Indiana,US,Westwood,Los Angeles,US,1910,10,14,2010,6,4
Bill Schrader,Lafayette,Indiana,US,,,,1910,5,14,1968,10,1
Carl Austing,,Ohio,US,,,,1910,4,25,1992,3,25
Dudey Moore,Pittsburgh,Pennsylvania,US,Bristol,Pennsylvania,US,1910,4,5,1984,4,8
Don Smith,,,US,Pittsburgh,Pennsylvania,US,1910,10,18,1994,1,27
Paul Birch,,,US,Pittsburgh,Pennsylvania,US,1910,1,10,1982,6,5
Willie Smith,Montgomery,Alabama,US,Cleveland,Ohio,US,1911,4,22,1992,3,15
Bud Lindberg,,Illinois,US,Lockport,Illinois,US,1911,12,8,1988,2,1
William Perigo,Lebanon,Indiana,US,Saline,Michigan,US,1911,9,17,1990,2,7
Marty Reiter,Pittsburgh,Pennsylvania,US,Fort Lauderdale,Florida,US,1911,8,25,1986,2,6
Tim Lawry,Pittsburgh,Pennsylvania,US,Cleveland,Ohio,US,1911,8,1,1999,9,19
Al Bonniwell,Wayne,Pennsylvania,US,Arlington,Virginia,US,1911,10,6,2002,3,8
Bill Hoskey Sr.,,,US,,,,1911,2,19,1956,12,
Chelso Tamagno,Chicago,Illinois,US,Payson,Arizona,US,1912,3,20,1986,4,
James Goff,Normal,Illinois,US,Tucson,Arizona,US,1912,5,13,1980,2,28
Hillery Brown,Jackson,Mississippi,US,Chicago,Illinois,US,1912,7,30,1991,2,8
Duck Dowell,Gilman City,Missouri,US,Yucca Valley,California,US,1912,8,14,2003,11,27
Buzz Knoblauch,Martel,Nebraska,US,Cambridge,Wisconsin,US,1912,4,22,1984,3,7
Frank Baird,Toledo,Ohio,US,Goshen,Indiana,US,1912,4,10,2007,3,20
John Wiethe,Cincinnati,Ohio,US,,,,1912,10,17,1989,5,3
Freddie Crum,,Pennsylvania,US,Pittsburgh,Pennsylvania,US,1912,12,3,1987,7,11
Glenn Roberts,Wise,Virginia,US,Kingsport,Tennessee,US,1912,10,25,1980,5,21
Art Hyatt,,,US,University Place,Washington,US,1912,6,29,1991,1,3
Chuck Chuckovits,,,US,,,,1912,7,10,1991,8,12
Russ Ochsenhirt,,,US,,,,1912,4,16,2002,10,4
Bill Haarlow,Chicago,Illinois,US,Hinsdale,Illinois,US,1913,5,5,2003,11,21
Ace Gruenig,Chicago,Illinois,US,,,,1913,3,12,1958,8,11
Jewell Young,Hedrick,Indiana,US,Bradenton,Florida,US,1913,1,18,2003,4,16
Scott Armstrong,Fort Wayne,Indiana,US,Fort Wayne,Indiana,US,1913,10,12,1997,8,20
George Svendsen,Minneapolis,Minnesota,US,,,,1913,3,22,1995,8,6
Soup Cable,Akron,Ohio,US,Prospect,Kentucky,US,1913,4,4,1995,2,19
John Poncar,,Ohio,US,Linesville,Pennsylvania,US,1913,10,16,2010,1,1
Irv Brenner,Pittsburgh,Pennsylvania,US,North Miami Beach,Florida,US,1913,5,31,1991,1,20
Wesley Bennett,Nashville,Tennessee,US,,,,1913,3,31,2002,8,20
Ben Goldfaden,,,US,,,,1913,9,6,2013,3,25
Charley Shipp,,,US,,,,1913,12,3,1988,3,21
Jack Ozburn,,,US,,,,1913,1,4,1969,2,14
Nat Frankel,,,US,,,,1913,11,3,2006,3,14
Pick Dehner,Lincoln,Illinois,US,Belleville,Illinois,US,1914,8,29,1987,4,7
George Wilson,Chicago,Illinois,US,Chicago,Illinois,US,1914,2,3,1978,11,23
Paul Nowak,South Bend,Indiana,US,Treasure Island,Florida,US,1914,3,14,1983,1,10
"Theodore Reginald ""Ted"" Strong",South Bend,Indiana,US,Chicago,Illinois,US,1914,1,2,1978,3,1
Vern Huffman,Mooreland,Indiana,US,Bloomington,Indiana,US,1914,12,18,1995,3,18
Leroy Edwards,Crawfordsville,Indiana,US,Lawrence,Indiana,US,1914,4,11,1971,8,25
Ken Gunning,Shelbyville,Indiana,US,,,,1914,6,4,1991,4,2
Art Stoefen,Davenport,Iowa,US,Bend,Oregon,US,1914,8,29,1995,1,7
Jerry Bush,Brooklyn,New York,US,Lincoln,Nebraska,US,1914,9,6,1976,10,27
Bobby McDermott,Queens,New York,US,Yonkers,New York,US,1914,1,7,1963,10,3
Vito Kubilus,New York City,New York,US,Euclid,Ohio,US,1914,6,29,1986,11,16
Bill Jones,Toledo,Ohio,US,Los Angeles,California,US,1914,2,3,2006,4,9
Hal Cihlar,Cleveland,Ohio,US,Richfield,Ohio,US,1914,7,16,1995,8,21
Hank Evans,Stoneboro,Pennsylvania,US,Hermitage,Pennsylvania,US,1914,12,5,2000,,
Ed Dancker,Milwaukee,Wisconsin,US,,,,1914,3,14,1991,10,3
Chick Reiser,,,US,Destin,Florida,US,1914,12,17,1996,7,29
Joe Proksa,,,US,Hagerstown,Maryland,US,1914,6,30,1999,10,25
Hymie Ginsburg,,,US,Canton,Ohio,US,1914,3,23,1986,3,2
Eddie Oram,,,US,,,,1914,10,5,2004,12,18
Robert Kessler,,,US,,,,1914,11,25,2001,9,5
Ed Campion,Chicago,Illinois,US,Salinas,California,US,1915,12,19,2005,1,10
Jake Nagode,,Illinois,US,,,,1915,7,11,1976,1,31
Mike Novak,Chicago,Illinois,US,,,,1915,4,23,1978,8,15
Nick Yost,Chicago,Illinois,US,,,,1915,4,1,1980,12,
Robert McElliott,,Illinois,US,,,,1915,7,10,1975,2,1
Glynn Downey,Franklin,Indiana,US,Stuart,Florida,US,1915,9,1,1976,1,30
Bernard Opper,New York City,New York,US,Encino,California,US,1915,9,1,2000,2,24
Ralph Bishop,Brooklyn,New York,US,Santa Clara,California,US,1915,10,1,1974,10,1
Johnny Gee,Syracuse,New York,US,Cortland,New York,US,1915,12,7,1988,1,23
Irving Terjesen,Brooklyn,New York,US,Akron,Ohio,US,1915,3,4,1990,4,12
Mike Bloom,New York City,New York,US,,,,1915,1,14,1993,6,5
Willard Swihart,Massillon,Ohio,US,,,,1915,,,1999,,
Ed Kweller,Pittsburgh,Pennsylvania,US,Los Angeles,California,US,1915,1,27,2003,4,1
Frank Vukosic,,Pennsylvania,US,Orange County,California,US,1915,4,8,1989,5,17
Press Maravich,Aliquippa,Pennsylvania,US,Covington,Louisiana,US,1915,8,29,1987,4,15
Matthew Guokas Sr.,Philadelphia,Pennsylvania,US,Flourtown,Pennsylvania,US,1915,11,11,1993,12,9
Bill Jesko,,Pennsylvania,US,Whitehall,Pennsylvania,US,1915,12,24,1961,10,21
John Moir,Rutherglen,Scotland,GB,Carlisle,Pennsylvania,US,1915,5,22,1975,11,15
Connie Mack Berry,Greenville,South Carolina,US,,,,1915,4,15,1980,6,24
Paul Kessy,,Wisconsin,US,,Wisconsin,US,1915,5,17,1971,1,3
Chuck Hawley,,,US,Odin,Illinois,US,1915,4,3,1992,10,
Walt Miller,,,US,Lincoln Place,Pennsylvania,US,1915,7,30,2001,1,21
John Isaacs,,,PA,,,,1915,9,15,2009,1,26
Bill Wendt,,,US,,,,1915,3,20,1966,3,12
Hal Tidrick,,,US,,,,1915,8,4,1974,4,2
Rube Lautenschlager,,,US,,,,1915,9,7,1992,1,5
Wibs Kautz,,,US,,,,1915,9,7,1979,5,
Jim Hilgemann,Wabash,Indiana,US,Fort Wayne,Indiana,US,1916,12,22,1967,8,28
Chet Aubuchon,Gary,Indiana,US,,,,1916,5,8,2005,4,14
John Townsend,,Indiana,US,,,,1916,9,20,2001,12,4
Lyle Neat,,Indiana,US,,,,1916,9,29,1996,12,5
Ken Suesens,Des Moines,Iowa,US,Sheboygan,Wisconsin,US,1916,10,23,1992,5,29
Jake Pelkington,New York City,New York,US,Fort Wayne,Indiana,US,1916,1,3,1982,5,1
Bob Gerber,Akron,Ohio,US,Sandusky,Ohio,US,1916,8,1,2002,2,13
Joe Urso,,Pennsylvania,US,Hamilton,Ohio,US,1916,9,17,1991,4,27
Ed Melvin,Pittsburgh,Pennsylvania,US,Toledo,Ohio,US,1916,2,13,2004,7,30
Herb Bonn,Aliquippa,Pennsylvania,US,,South Pacific Ocean,US,1916,1,14,1943,4,7
Red Mihalik,Ford City,Pennsylvania,US,,,,1916,9,22,1996,10,25
John O'Brien,,,US,Windsor,Connecticut,US,1916,,,1994,6,16
Hank Beenders,Haarlem,,NL,Somerville,New Jersey,US,1916,7,2,2003,10,27
Ben Stephens,,,US,St. Thomas,Virgin Islands,US,1916,11,27,1966,4,6
Art Hillhouse,,,US,,,,1916,6,12,1980,10,27
Bob Hassmiller,,,US,,,,1916,12,17,1980,9,
Chet Carlisle,,,US,,,,1916,11,2,1988,8,
Dave Quabius,,,US,,,,1916,3,16,1983,6,19
Dolly King,,,US,,,,1916,11,15,1969,1,29
George Rung,,,US,,,,1916,5,27,1996,9,29
Mel Riebe,,,US,,,,1916,7,12,1977,7,25
Stan Zadel,,,US,,,,1916,4,8,1982,10,21
Pop Gates,Decatur,Alabama,US,,,,1917,8,30,1999,12,1
Lou Boudreau,Harvey,Illinois,US,Olympia Fields,Illinois,US,1917,7,17,2001,8,10
Johnny Hoekstra,Grand Rapids,Michigan,US,,,,1917,11,7,2006,10,25
Moe Becker,New York City,New York,US,Peoria,Arizona,US,1917,2,24,1996,1,9
Irv Torgoff,Brooklyn,New York,US,Fort Lauderdale,Florida,US,1917,3,6,1993,10,21
Al Cervi,Buffalo,New York,US,Rochester,New York,US,1917,2,12,2009,11,9
Ed Sadowski,Akron,Ohio,US,Wall,New Jersey,US,1917,7,11,1990,9,18
Bill Riebe,Cleveland,Ohio,US,Mayfield Heights,Ohio,US,1917,8,15,2000,2,6
Gene Scholz,Columbus,Ohio,US,,,,1917,9,28,2005,3,9
Laddie Gale,Oakridge,Oregon,US,Gold Beach,Oregon,US,1917,4,22,1996,7,29
Jack Scarry,Duquesne,Pennsylvania,US,Palos Park,Illinois,US,1917,5,29,1983,11,3
Buddy Jeannette,New Kensington,Pennsylvania,US,Nashua,New Hampshire,US,1917,9,15,1998,3,11
Al Schrecker,Pittsburgh,Pennsylvania,US,Allison Park,Pennsylvania,US,1917,7,23,2000,1,4
Grady Lewis,Boyd,Texas,US,Peoria,Arizona,US,1917,3,25,2009,3,11
Fred Beretta,Proctor,Vermont,US,Indianapolis,Indiana,US,1917,1,24,1962,11,17
Gene Englund,Kenosha,Wisconsin,US,Winnebago,Wisconsin,US,1917,10,21,1995,11,5
Ted Strain,,,US,Belvidere,Illinois,US,1917,3,1,1999,10,4
Bart Quinn,,,US,,,,1917,2,19,2013,3,3
Ben Charnus,,,US,,,,1917,12,11,1982,3,19
Bob Carpenter,,,US,,,,1917,11,6,1997,4,18
Bob Cluggish,,,US,,,,1917,9,18,2008,9,5
Bob Dille,,,US,,,,1917,7,2,1998,12,10
Bob Macleod,,,US,,,,1917,10,15,2003,1,13
Bobby Neu,,,US,,,,1917,6,28,1971,2,7
Charlie Hoefer,,,US,,,,1917,7,12,,,
Dick Schulz,,,US,,,,1917,1,3,1998,6,26
Erwin Graf,,,US,,,,1917,7,28,2005,10,12
Joe Fabel,,,US,,,,1917,5,15,1967,1,31
Lou Possner,,,US,,,,1917,8,11,1990,3,6
Marvin Huffman,,,US,,,,1917,3,14,1983,5,15
Slim Wintermute,,,US,,,,1917,7,9,1977,,
Steve Sitko,,,US,,,,1917,11,16,2003,1,8
Herm Fuetsch,San Francisco,California,US,Novato,California,US,1918,6,6,2010,9,29
Bill Hapac,Chicago,Illinois,US,Chicago,Illinois,US,1918,1,26,1967,3,9
Elmer Gainer,Chicago,Illinois,US,Des Plaines,Illinois,US,1918,11,22,1970,9,29
Johnny Orr,Chicago,Illinois,US,,,,1918,,,,,
Dale Morey,Martinsville,Indiana,US,High Point,North Carolina,US,1918,12,1,2002,5,14
Bob Dro,Berne,Indiana,US,,,,1918,10,12,2006,5,4
Herm Schaefer,Fort Wayne,Indiana,US,,,,1918,12,20,1980,3,21
Jake Weber,Rushville,Indiana,US,,,,1918,3,18,1990,1,6
Jerry Kelly,,New York,US,Carson City,Nevada,US,1918,6,14,1996,7,23
Dan Carnevale,Buffalo,New York,US,North Tonawanda,New York,US,1918,2,8,2005,12,29
Belus Smawley,Ellenboro,North Carolina,US,Mooresville,North Carolina,US,1918,3,18,2003,4,24
Frank Baumholtz,Midvale,Ohio,US,Winter Springs,Florida,US,1918,10,7,1997,12,14
Frank Garcia,Akron,Ohio,US,Akron,Ohio,US,1918,,,1956,1,24
Angelo Musi,Philadelphia,Pennsylvania,US,Bryn Mawr,Pennsylvania,US,1918,7,25,2009,10,19
John Novotny,Braddock,Pennsylvania,US,Jeannette,Pennsylvania,US,1918,1,29,2006,7,14
Ralph Churchfield,,Pennsylvania,US,North Versailles Township,Pennsylvania,US,1918,1,1,1995,10,7
Sid Levine,Pittsburgh,Pennsylvania,US,Pittsburgh,Pennsylvania,US,1918,7,9,1999,6,10
Petey Rosenberg,Philadelphia,Pennsylvania,US,,,,1918,4,7,1997,6,29
Red Wallace,,Pennsylvania,US,,,,1918,7,12,1977,7,7
Marshall Brown,Troup,Texas,US,Tyler,Texas,US,1918,6,28,2008,8,20
Stan Szukala,,,US,Park Ridge,Illinois,US,1918,6,12,2003,8,30
Curly Armstrong,,,US,Fort Wayne,Indiana,US,1918,11,1,1983,6,6
Babe Ziegenhorn,,,US,,,,1918,11,21,1970,8,23
Bob Calihan,,,US,,,,1918,8,2,1989,9,22
Bruce Hale,,,US,,,,1918,8,30,1980,12,30
Don Eliason,,,US,,,,1918,7,24,2003,8,18
Jack Garfinkel,,,US,,,,1918,6,13,2013,8,14
Jerry Steiner,,,US,,,,1918,1,7,2012,2,1
John Barr,,,US,,,,1918,8,18,2002,7,1
Lonnie Eggleston,,,US,,,,1918,6,8,1998,7,10
Ned Endress,,,US,,,,1918,3,2,2010,6,19
Nick Shaback,,,US,,,,1918,9,10,,,
Ralph Vaughn,,,US,,,,1918,2,12,1998,6,7
Virgil Vaughn,,,US,,,,1918,5,15,2007,2,26
John Mandic,Los Angeles,California,US,Portland,Oregon,US,1919,10,3,2003,6,22
Bob Doll,Steamboat Springs,Colorado,US,,,,1919,8,10,1959,9,18
George Pearcy,Martinsville,Indiana,US,Martinsville,Indiana,US,1919,7,2,1992,9,14
Lee Huber,Louisville,Kentucky,US,Orlando,Florida,US,1919,2,16,2005,9,22
Don Carlson,Minneapolis,Minnesota,US,,,,1919,3,22,2004,10,16
Sonny Boswell,Greenville,Mississippi,US,,,,1919,,,1964,10,19
Leon Brown,Hastings,Nebraska,US,,,,1919,10,12,1990,10,14
Ossie Schectman,Queens,New York,US,Delray Beach,Florida,US,1919,3,30,2013,7,30
Ralph Kaplowitz,The Bronx,New York,US,Queens,New York,US,1919,5,18,2009,2,2
Bones McKinney,Lowland,North Carolina,US,Raleigh,North Carolina,US,1919,1,1,1997,5,16
John Mills,,Ohio,US,Knox County,Kentucky,US,1919,9,7,1995,8,25
Matt Zunic,Renton,Pennsylvania,US,Lecanto,Florida,US,1919,9,19,2006,12,15
John Abramovic,Etna,Pennsylvania,US,Ormond Beach,Florida,US,1919,2,9,2000,6,9
George Glamack,Johnstown,Pennsylvania,US,,,,1919,6,7,1987,3,10
George Grimshaw,Providence,Rhode Island,US,,,,1919,9,24,1974,10,
Frank Carswell,Palestine,Texas,US,Houston,Texas,US,1919,11,6,1998,10,16
John Kotz,Rhinelander,Wisconsin,US,,,,1919,3,27,1999,5,8
Mel Thurston,,,US,Lockport,New York,US,1919,1,16,1997,10,8
Matt Vaniel,,,US,East Pittsburgh,Pennsylvania,US,1919,11,14,1981,1,1
Armand Cure,,,US,,,,1919,8,1,2003,11,28
Chick Halbert,,,US,,,,1919,2,27,2013,3,4
Dale Hamilton,,,US,,,,1919,8,16,1994,8,12
Eddie Riska,,,US,,,,1919,10,4,1992,8,3
Harry Zeller,,,US,,,,1919,7,10,2004,9,22
Howie McCarty,,,US,,,,1919,,,1973,,
Jack Maddox,,,US,,,,1919,12,10,2006,7,9
Ken Buehler,,,US,,,,1919,11,19,,,
Marty Passaglia,,,US,,,,1919,4,22,2004,7,17
Mickey Rottner,,,US,,,,1919,3,23,2011,9,21
Tony Kappen,,,US,,,,1919,4,13,1993,12,18
Bob Feerick,San Francisco,California,US,San Francisco,California,US,1920,1,2,1976,6,8
Deb Smith,Paul,Idaho,US,Salt Lake City,Utah,US,1920,1,7,2009,2,25
John Janisch,,Indiana,US,West Branch,Michigan,US,1920,3,15,1992,8,29
Harold Johnson,Richmond,Indiana,US,,,,1920,1,30,1999,9,17
Dick Klein,,Iowa,US,Greenville,South Carolina,US,1920,9,16,2000,10,10
Stanley Stutz,Worcester,Massachusetts,US,New Rochelle,New York,US,1920,4,14,1975,10,28
Clint Wager,Winona,Minnesota,US,Winona,Minnesota,US,1920,1,20,1996,2,29
Arnie Johnson,Gonvick,Minnesota,US,Rochester,New York,US,1920,5,16,2000,6,6
Red Holzman,Brooklyn,New York,US,New Hyde Park,New York,US,1920,8,10,1998,11,13
Andrew Levane,Brooklyn,New York,US,,,,1920,4,11,2012,4,30
Leo Gottlieb,New York,New York,US,,,,1920,11,28,1972,8,
Bob Armstrong,Cambridge,Ohio,US,Jacksonville,Florida,US,1920,6,11,2009,11,22
Pete Lalich,Lorain,Ohio,US,St. Petersburg,Florida,US,1920,6,23,2008,2,1
Red Klotz,Philadelphia,Pennsylvania,US,Margate City,New Jersey,US,1920,10,21,2014,7,12
Art Spector,Philadelphia,Pennsylvania,US,New York City,New York,US,1920,10,17,1987,6,18
Huck Hartman,Salina,Pennsylvania,US,Sharon,Pennsylvania,US,1920,,,1946,3,25
Bob Davies,Harrisburg,Pennsylvania,US,Hilton Head Island,South Carolina,US,1920,1,15,1990,4,22
Don Martin,Newport,Rhode Island,US,,,,1920,5,25,1999,7,24
Bob Kinney,Bexar,Texas,US,Asheville,North Carolina,US,1920,9,16,1985,9,2
John Hargis,Nacogdoches,Texas,US,,,,1920,8,20,1986,1,2
Price Brookfield,Floydada,Texas,US,,,,1920,5,11,2006,4,17
Paul Cloyd,Madison,Wisconsin,US,Beaver Dam,Wisconsin,US,1920,6,13,2005,12,28
