name,first_name,last_name,birth_city,birth_state,birth_country,death_city,death_state,death_country,year_start,year_end,birth_year,birth_month,birth_day,death_year,death_month,death_day
Nate 2. Jones,Nate,2,Texarkana,TX,USA,,,,1962,1962,1985,12,30,,,
Charles A. Johnson,Charles,A.,Baltimore,MD,USA,,,,1977,1977,1957,6,29,,,
Charlie A. Smith,Charlie,A.,Monroe,LA,USA,,,,1982,1982,1950,7,26,,,
Chuck A. Taylor,Chuck,A.,Portland,OR,USA,Stanford,CA,,1995,1999,1920,1,24,1994,5,7
Corey A. Harris,Corey,A.,Jacksonville,FL,USA,,,,2006,2013,1976,11,28,,,
Dave A. Smith,Dave,A.,Hammond,IN,USA,,,,1982,1982,1964,12,12,,,
Gary A. Anderson,Gary,A.,Fairfield,CA,USA,,,,1952,1954,1955,9,22,,,
Gene A. Washington,Gene,A.,Tuscaloosa,AL,USA,,,,1981,1981,1947,1,14,,,
James A. Jones,James,A.,Davenport,IA,USA,,,,1962,1962,1969,2,6,,,
Jeff A. Smith,Jeff,A.,Milan,TN,USA,,,,1982,1982,1962,12,28,,,
Jim A. McDonald,Jim,A.,Springfield,OH,USA,Knoxville,TN,,1938,1938,1915,6,9,1997,5,1
Jim A. Norton,Jim,A.,Wilmington,NC,USA,,,,1921,1921,1942,11,18,,,
Kevin A. Smith,Kevin,A.,Newport,RI,USA,,,,1982,1982,1967,4,2,,,
Mark A. Campbell,Mark,A.,,,,,,,2006,2012,1972,9,12,,,
Mark A. Carrier,Mark,A.,Lake Charles,LA,USA,,,,1937,1938,1968,4,28,,,
Michael A. Brooks,Michael,A.,Greensboro,NC,USA,,,,1920,1920,1967,3,12,,,
Mike A. Jones,Mike,A.,Chattanooga,TN,USA,,,,1962,1962,1960,4,14,,,
Mike A. Williams,Mike,A.,New Kingston,PA,USA,,,,2012,2013,1957,10,14,,,
Ray A. Brown,Ray,A.,Bronx,NY,USA,,,,1920,1920,1965,7,25,,,
Reggie A. Brown,Reggie,A.,Miami,FL,USA,,,,1920,1920,1970,5,5,,,
Robert A. Williams,Robert,A.,Chicago,IL,USA,,,,2012,2013,1962,9,26,,,
Ron A. Johnson,Ron,A.,Detroit,MI,USA,,,,1977,1977,1947,10,17,,,
Steve A. Wilson,Steve,A.,Fort Sill,OK,USA,,,,2012,2013,1954,5,19,,,
Tim A. Harris,Tim,A.,Compton,CA,USA,,,,2006,2013,1961,6,15,,,
Tony A. Jones,Tony,A.,Tampa,FL,USA,,,,1962,1962,1972,2,16,,,
