name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Aaron Broten,Roseau,Minnesota,US,,,,1960,11,14,,,
Aaron Downey,Shelburne,Ontario,CA,,,,1974,8,27,,,
Aaron Ekblad,Windsor,Ontario,CA,,,,1996,2,7,,,
Aaron Gagnon,Quesnel,British Columbia,CA,,,,1986,4,24,,,
Aaron Gavey,Greater Sudbury,Ontario,CA,,,,1974,2,22,,,
Aaron Johnson,Port Hawkesbury,Nova Scotia,CA,,,,1983,4,30,,,
Aaron MacKenzie,Terrace Bay,Ontario,CA,,,,1981,3,7,,,
Aaron Miller,Buffalo,New York,US,,,,1971,8,11,,,
Aaron Ness,Roseau,Minnesota,US,,,,1990,5,18,,,
Aaron Palushaj,Livonia,Michigan,US,,,,1989,9,7,,,
Aaron Rome,Nesbitt,Manitoba,CA,,,,1983,9,27,,,
Aaron Volpatti,Revelstoke,British Columbia,CA,,,,1985,5,30,,,
Aaron Voros,Vancouver,British Columbia,CA,,,,1981,7,2,,,
Aaron Ward,Windsor,Ontario,CA,,,,1973,1,17,,,
Ab DeMarco,North Bay,Ontario,CA,North Bay,Ontario,CA,1916,5,10,1989,5,26
"Ab DeMarco, Jr.",Cleveland,Ohio,US,,,,1949,2,27,,,
Ab McDonald,Winnipeg,Manitoba,CA,,,CA,1936,2,18,,,
Abbie Cox,London,Ontario,CA,,,CA,1902,7,19,1985,5,10
Ace Bailey,Bracebridge,Ontario,CA,Toronto,Ontario,CA,1903,7,3,1992,4,7
Adam Almqvist,Jönköping,,SE,,,,1991,2,27,,,
Adam Bennett,Georgetown,Ontario,CA,,,,1971,3,30,,,
Adam Berkhoel,Woodbury,Minnesota,US,,,,1981,5,16,,,
Adam Berti,Scarborough,Toronto,CA,,,,1986,7,1,,,
Adam Brown,Johnstone,Scotland,GB,,,CA,1920,2,4,1960,8,9
Adam Burish,Madison,Wisconsin,US,,,,1983,1,6,,,
Adam Burt,Detroit,Michigan,US,,,,1969,1,15,,,
Adam Clendening,Niagara Falls,New York,US,,,,1992,10,26,,,
Adam Cracknell,Prince Albert,Saskatchewan,CA,,,,1985,7,15,,,
Adam Creighton,Burlington,Ontario,CA,,,,1965,6,2,,,
Adam Deadmarsh,Trail,British Columbia,CA,,,,1975,5,10,,,
Adam Foote,Whitby,Ontario,CA,,,,1971,7,10,,,
Adam Graves,Toronto,Ontario,CA,,,,1968,4,12,,,
Adam Hall,Kalamazoo,Michigan,US,,,,1980,8,14,,,
Adam Hauser,Bovey,Minnesota,US,,,,1980,5,27,,,
Adam Henrique,Brantford,Ontario,CA,,,,1990,2,6,,,
Adam Larsson,Skellefteå,,SE,,,,1992,11,12,,,
Adam Lowry,St. Louis,Missouri,US,,,,1993,3,29,,,
Adam Mair,Hamilton,Ontario,CA,,,,1979,2,15,,,
Adam McQuaid,Charlottetown,Prince Edward Island,CA,,,,1986,10,12,,,
Adam Munro,County of Brant,Ontario,CA,,,,1982,11,12,,,
Adam Oates,Weston,Toronto,CA,,,,1962,8,27,,,
Adam Pardy,Bonavista,Newfoundland and Labrador,CA,,,,1984,3,29,,,
Adam Payerl,Kitchener,Ontario,CA,,,,1991,3,4,,,
Adam Pineault,Holyoke,Massachusetts,US,,,,1986,5,23,,,
Adélard Lafrance,Chaplea,Ontario,CA,North Bay,Ontario,CA,1912,1,13,1995,6,19
Adrian Aucoin,Ottawa,Ontario,CA,,,,1973,7,3,,,
Adrien Plavsic,Montreal,Quebec,CA,,,,1970,1,13,,,
Aggie Kukulowicz,Winnipeg,Manitoba,CA,Toronto,Ontario,CA,1933,4,2,2008,9,26
Aki Berg,Raisio,,FI,,,,1977,7,28,,,
Akim Aliu,Okene,,NG,,,,1989,4,24,,,
Al Arbour,Greater Sudbury,Ontario,CA,Sarasota,Florida,US,1932,11,1,2015,8,28
Al Buchanan,Winnipeg,Manitoba,CA,,,,1927,5,17,1994,1,17
Al Conroy,Calgary,Alberta,CA,,,,1966,1,17,,,
Al Dewsbury,Goderich,Ontario,CA,,,CA,1926,4,12,2006,12,16
Al Fisher,Sault Ste. Marie,Ontario,CA,Ranger Lake,Ontario,CA,1893,1,5,1937,3,1
Al Hamilton,Flin Flon,Manitoba,CA,,,,1946,8,20,,,
Al Hill,Nanaimo,British Columbia,CA,,,,1955,4,22,,,
Al Huggins,Toronto,Ontario,CA,Toronto,Ontario,CA,1909,12,21,1991,7,28
Al Iafrate,Dearborn,Michigan,US,,,,1966,3,21,,,
Al Jensen,Hamilton,Ontario,CA,,,,1958,11,27,,,
Al Johnson,Winnipeg,Manitoba,CA,,,CA,1935,3,30,,,
Al Karlander,Lac la Hache,British Columbia,CA,,,,1946,11,5,,,
Al Langlois,Magog,Quebec,CA,,,,1934,11,6,,,
Al LeBrun,Timmins,Ontario,CA,,,,1940,12,1,,,
Al MacAdam,Charlottetown,Prince Edward Island,CA,,,,1952,3,16,,,
Al MacInnis,Inverness,Nova Scotia,CA,,,,1963,7,11,,,
Al MacNeil,Sydney,Nova Scotia,CA,,,,1935,9,27,,,
Al McDonough,Hamilton,Ontario,CA,,,,1950,6,6,,,
Al McLeod,Medicine Hat,Alberta,CA,,,CA,1949,6,17,,,
Al Millar,Winnipeg,Manitoba,CA,Broward County,Florida,US,1929,9,18,1987,12,20
Al Montoya,Chicago,Illinois,US,,,,1985,2,13,,,
Al Murray,Stratford,Ontario,CA,Stratford,Ontario,CA,1906,11,10,1982,1,7
Al Nicholson,Estevan,Saskatchewan,CA,,,CA,1936,4,26,1978,12,9
Al Rittinger,Regina,Saskatchewan,CA,,,CA,1925,1,28,,,
Al Rollins,Vanguard,Saskatchewan,CA,Calgary,Alberta,CA,1926,10,9,1996,7,27
Al Secord,Greater Sudbury,Ontario,CA,,,,1958,3,3,,,
Al Sims,Toronto,Ontario,CA,,,,1953,4,18,,,
Al Smith,Toronto,Ontario,CA,,,,1945,11,10,2002,8,7
Al Staley,Regina,Saskatchewan,CA,,,,1928,9,21,,,
Al Suomi,Eveleth,Minnesota,US,La Grange,Illinois,US,1913,10,29,2014,9,23
Al Tuer,North Battleford,Saskatchewan,CA,,,,1963,7,19,,,
Alain Bélanger,Saint-Janvier-de-Joly,Quebec,CA,,,CA,1956,1,18,,,
Alain Caron,Dolbeau-Mistassini,Quebec,CA,,,CA,1938,4,27,1986,12,18
Alain Chevrier,Cornwall,Ontario,CA,,,,1961,4,23,,,
Alain Côté,Matane,Quebec,CA,,,,1957,5,3,,,
Alain Côté,Montmagny,Quebec,CA,,,,1967,4,14,,,
Alain Daigle,Trois-Rivières,Quebec,CA,,,,1954,8,24,,,
Alain Langlais,Chicoutimi,Quebec,CA,,,CA,1950,10,9,,,
Alain Lemieux,Montreal,Quebec,CA,,,CA,1961,5,24,,,
Alain Nasreddine,Montreal,Quebec,CA,,,,1975,7,10,,,
Alain Raymond,Rimouski,Quebec,CA,,,,1965,6,24,,,
Alain Vigneault,Quebec City,Quebec,CA,,,,1961,5,14,,,
Alan Hangsleben,Warroad,Minnesota,US,,,,1963,2,22,,,
Alan Haworth,Drummondville,Quebec,CA,,,,1960,9,1,,,
Alan Hepple,Blaydon,England,GB,,,,1963,8,16,,,
Alan Kerr,Hazelton,British Columbia,CA,,,,1964,3,28,,,
Alan Kuntz,Toronto,Ontario,CA,,,CA,1919,6,4,1987,3,7
Alan Letang,Renfrew,Ontario,CA,,,,1975,9,4,,,
Alan May,Barrhead,Alberta,CA,,,,1965,1,14,,,
Alan Quine,Belleville,Ontario,CA,,,,1993,2,25,,,
"Alan Richard ""Al"" Cameron",Edmonton,Alberta,CA,,,,1955,10,21,,,
Albert Holway,Toronto,Ontario,CA,Belleville,Ontario,CA,1902,9,24,1968,11,20
Albert Hughes,Guelph,Ontario,CA,Collingwood,Ontario,CA,1899,5,13,1969,11,7
Albert Leduc,Salaberry-de-Valleyfield,Quebec,CA,Montreal,Quebec,CA,1902,11,22,1990,7,31
Albert Pudas,Siikajoki,,FI,Thunder Bay,Ontario,CA,1899,2,17,1976,10,28
Aldo Guidolin,Caledon,Ontario,CA,Guelph,Ontario,CA,1932,6,6,2015,11,8
Aldo Palazzari,Eveleth,Minnesota,US,,,CA,1918,7,25,2007,5,12
Alec Connell,Ottawa,Ontario,CA,Ottawa,Ontario,CA,1900,2,8,1958,5,10
Alec Martinez,Rochester Hills,Michigan,US,,,,1987,7,26,,,
Alec Tidey,Vancouver,British Columbia,CA,,,,1955,1,5,,,
Alek Stojanov,Windsor,Ontario,CA,,,,1973,4,25,,,
"Aleksander Barkov, Jr.",Tampere,,FI,,,,1995,9,2,,,
Aleksander Suglobov,Elektrostal,,RU,,,,1982,1,15,,,
Aleksandrs Kerčs,Arkhangelsk,,RU,,,,1967,3,16,,,
