name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
"""Dr. Death"" Steve Williams",Lakewood,Colorado,US,Denver,Colorado,US,"[wwe, ecw, wcw]",1960,5,14,2009,12,29,m
2 Cold Scorpio,Denver,Colorado,US,,,,"[wwe, ecw, wcw]",1965,10,25,,,,m
2 Tuff Tony,Louisville,Kentucky,US,,,,[tna],1974,6,6,,,,m
A.J. Petrucci,Jim Thorpe,Pennsylvania,US,,,,[ecw],1952,,,,,,m
A.J. Styles,Camp Lejeune,North Carolina,US,,,,"[wwe, wcw]",1977,6,2,,,,m
Aaron Aguilera,Orange County,California,US,,,US,[wwe],1977,2,28,,,,m
Abdullah the Butcher,Windsor,Ontario,CA,,,US,"[sta, ecw, nwa, wcw]",1941,1,11,,,,m
Abe Zvonkin,New York City,New York,US,Hamilton,Ontario,CA,[sta],1910,3,6,2002,8,22,m
Abismo Negro,Villahermosa,Tabasco,MX,El Rosario,Baja California,MX,[tna],1971,7,1,2009,3,22,m
Abraham Washington,,Texas,US,,,US,[wwe],1977,7,4,,,,m
Abyss,Washington,D.C,US,,,,[tna],1973,10,4,,,,m
Ace Darling,Wildwood,New Jersey,US,,,US,[wcw],1975,6,27,,,,m
Ace Steel,Chicago,Illinois,US,,,,[tna],1973,1,25,,,,m
Achim Albrecht,Münster,North Rhine-Westphalia,DE,,,,"[wwe, ecw]",1962,7,2,,,,m
Adam Flash,York,Pennsylvania,US,,,US,"[ecw, tna, wcw]",1971,10,22,,,,m
Adam Pearce,Lake Forest,Illinois,US,,,US,[wwe],1978,6,24,,,,m
Adam Rose,Johannesburg,,ZA,,,,[wwe],1979,7,20,,,,m
Adnan Al-Kaissie,Baghdad,,IQ,,,US,"[wwe, awa]",1939,3,1,,,,m
Adrian Adonis,Buffalo,New York,US,Lewisporte,Newfoundland and Labrador,CA,"[wwe, sta, awa]",1954,9,15,1988,7,4,m
Adrian Neville,Newcastle upon Tyne,England,GB,,,,[wwe],1986,8,22,,,,m
Afa Anoa'i,,,WS,,,,"[nwa, wwe]",1942,11,21,,,,m
Afa Anoaʻi Jr.,Allentown,Pennsylvania,US,,,,[wwe],1984,10,6,,,,m
Ahmed Johnson,Lake Alfred,Florida,US,,,,[wwe],1963,6,6,,,,m
Aiden English,Rockford,Illinois,US,,,,[wwe],1987,10,7,,,,m
Air Paris,Summerville,Georgia,US,,,,[wcw],1977,5,10,,,,m
AJ Lee,Union City,New Jersey,US,,,US,[wwe],1987,3,19,,,,f
Aja Kong,,,US,,,US,[wwe],1970,9,25,,,,f
Akio Sato,Kakakami,Hokkaido,JP,,,US,"[wwe, nwa, awa]",1953,2,13,,,,m
Akira Hokuto,Kitakatsushika,Saitama,JP,,,US,[wcw],1967,7,13,,,,f
Akira Raijin,Takarazuka,Hyōgo Prefecture,JP,,,US,[tna],1978,7,17,,,,m
Aksana,Alytus,Dzūkija,LT,,,US,[wwe],1982,4,29,,,,f
Al Costello,Lingua Salina,,IT,,,US,"[wwe, sta, nwa]",1919,12,19,2000,1,22,m
Al Green,,,US,,,US,[wcw],1955,10,15,2013,6,14,m
Al Hobman,,,NZ,Wellington,,NZ,[sta],1925,4,23,2008,9,21,m
Al Perez,Tampa,Florida,US,,,US,[wwe],1960,7,23,,,,m
Al Snow,Lima,Ohio,US,,,,"[wwe, tna]",1963,7,18,,,,m
Al Tomko,Winnipeg,Manitoba,CA,Blaine,Washington,US,[sta],1931,11,22,2009,8,5,m
Alberto Del Rio,San Luis Potosí,San Luis Potosí,MX,,,,[wwe],1977,5,25,,,,m
Alex Koslov,,,RU,,,,[tna],1984,1,21,,,,m
Alex Pourteau,Bossier City,Louisiana,US,,,,[wwe],1969,10,30,,,,m
Alex Riley,Fairfax Station,Virginia,US,,,,[wwe],1981,4,28,,,,m
Alex Silva,Montreal,Quebec,CA,,,US,[tna],1990,1,23,,,,m
Alex Wright,Nuremberg,,DE,,,,[wcw],1975,5,17,,,,m
Alexa Bliss,Columbus,Ohio,US,,,,[wwe],1991,8,9,,,,f
Alexa Thatcher,Fords,New Jersey,US,,,,[tna],1987,4,16,,,,f
Alexander Rusev,Plovdiv,Plovdiv Province,BG,,,,[wwe],1985,12,25,,,,m
Alexis Smirnoff,Saint-Lin–Laurentides,Quebec,CA,,,US,"[wwe, nwa]",1947,2,9,,,,m
Ali Ahmet Çapraz,Kılıçköy,,BG,,,,"[nwa, sta]",1911,,,,,,m
Alicia Fox,Ponte Vedra Beach,Florida,US,,,,[wwe],1986,6,30,,,,f
Alicia Webb,Houston,Texas,US,,,,"[wwe, tna, wcw]",1979,5,4,,,,f
Alisha Inacio,San Diego,California,US,,,US,[tna],1987,1,7,,,,m
Aliyah,Toronto,Ontario,CA,,,,[wwe],1994,11,23,,,,f
Allan Funk,Alliance,Ohio,US,,,,[tna],1971,7,7,,,,m
Allen Coage,New York City,New York,US,Calgary,Alberta,US,"[wwe, sta]",1943,10,22,2007,3,6,m
Allysin Kay,Detroit,Michigan,US,,,US,[tna],1987,11,5,,,,f
Amazing Red,Cayey,,PR,,,,[tna],1982,4,26,,,,m
Amber O'Neal,Ashoskie,North Carolina,US,,,,[tna],1974,6,22,,,,f
Amy Weber,Peoria,Illinois,US,,,,[wwe],1970,7,2,,,,f
André the Giant,Grenoble,Isère,FR,Paris,Île-de-France,FR,"[nwa, sta, wcw, wwe]",1946,5,19,1993,1,27,m
Andrew Everett,Burlington,North Carolina,US,,,US,[tna],1992,7,9,,,,m
Andy Douglas,,Kentucky,US,,,,[tna],1978,10,11,,,,m
Andy Leavine,Brooksville,Florida,US,,,US,[wwe],1987,12,27,,,,m
Ángel Acevedo,San Juan,,PR,,,US,"[nwa, sta]",1945,1,27,,,,m
Angel Medina,Jamaica,New York,US,,,,[ecw],1970,2,28,,,,m
Angel of Death,Arlington,Texas,US,Bedford,Texas,US,[sta],1953,7,20,2007,11,25,m
Angel Orsini,Fort Lauderdale,Florida,US,,,US,[ecw],1969,8,26,,,,m
Angela Fong,Vancouver,British Columbia,CA,,,US,[wwe],1985,2,3,,,,f
Angelina Love,Toronto,Ontario,CA,,,,[tna],1981,9,13,,,,f
Angelo Dawkins,,,US,,,,[wwe],1990,7,24,,,,m
Angelo Mosca,Waltham,Massachusetts,US,,,US,[sta],1937,2,13,,,,m
Angelo Poffo,Downers Grove,Illinois,US,Sarasota,Florida,US,"[sta, nwa, wcw]",1925,4,10,2010,3,4,m
Angelo Savoldi,Castrocielo,,IT,Parsippany-Troy Hills,New Jersey,US,"[sta, nwa]",1914,4,21,2013,9,20,m
Animal Hamaguchi,Hamada,Shimane,JP,,,US,[sta],1947,8,31,,,,m
Ann Casey,Saraland,Alabama,US,,,US,"[sta, nwa]",1938,9,29,,,,f
Anthony Durante,Hammonton,New Jersey,US,Westerly,Rhode Island,US,[ecw],1967,7,26,2003,9,25,m
Antonino Rocca,Treviso,,IT,New York City,New York,US,"[wwe, sta, nwa]",1927,4,13,1977,3,15,m
